 k’©© j–E˙+¸¸ˆˆÑ!Åˆ¡!—)ÅÊÙÅ!ˆÙÙÙˆƒÊÙƒ¸¸ƒÙ˜‰[2H[2JSensor initialization...
ERROR!
CALIBRATED...
[2H[2JSensor initialization...
CALIBRATING...
CALIBRATED...
1.4,-0.0,-0.0,0.0000,0.0000,0.0000,0.0000
Clock enabled...
2.9,-0.0,-0.0,0.0000,0.0000,0.0000,0.0000
4.3,-0.0,-0.0,0.0000,0.0000,0.0000,0.0000
5.6,-0.1,-0.0,0.0000,0.0000,0.0000,0.0000
6.9,-0.1,-0.0,0.0000,0.0000,0.0000,0.0007
8.2,-0.1,-0.0,0.0000,0.0000,0.0000,0.0007
9.5,-0.1,-0.0,0.0000,0.0000,0.0000,0.0007
10.8,-0.2,-0.0,0.0000,0.0000,0.0000,0.0007
12.0,-0.2,-0.0,0.0000,0.0000,0.0000,0.0007
13.2,-0.2,-0.0,0.0000,0.0000,0.0000,0.0007
14.4,-0.2,-0.0,0.0000,0.0000,0.0000,0.0007
15.6,-0.2,-0.0,0.0000,0.0000,0.0000,0.0007
16.7,-0.2,-0.0,0.0000,0.0000,0.0000,0.0007
17.8,-0.3,0.0,0.0000,0.0000,0.0000,0.0017
18.9,-0.3,0.0,0.0000,0.0000,0.0000,0.0017
20.0,-0.3,0.0,0.0000,0.0000,0.0000,0.0017
21.0,-0.3,-0.0,0.0000,0.0000,0.0000,0.0017
22.0,-0.3,0.0,0.0000,0.0000,0.0000,0.0017
23.0,-0.3,0.0,0.0000,0.0000,0.0006,0.0017
24.0,-0.3,-0.0,0.0000,0.0000,0.0006,0.0017
25.0,-0.4,-0.0,0.0000,0.0000,0.0006,0.0017
25.9,-0.4,-0.0,0.0000,0.0000,0.0006,0.0017
26.9,-0.4,-0.0,0.0000,0.0000,0.0006,0.0017
27.8,-0.4,-0.0,0.0000,0.0000,0.0014,0.0017
28.7,-0.5,-0.0,0.0000,0.0000,0.0014,0.0017
29.5,-0.4,-0.0,0.0000,0.0000,0.0014,0.0017
30.4,-0.4,-0.0,0.0000,0.0000,0.0014,0.0017
31.2,-0.5,-0.0,0.0000,0.0000,0.0014,0.0017
32.0,-0.5,-0.0,0.0000,0.0000,0.0014,0.0017
